"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"scid10d",488,1460,0.000684931506849315,0.0261711961295107,0,0,0,0,1,1,38.1314686116507,1453.00410818165,0.000684931506849315
"scid10e",489,1460,0.00273972602739726,0.0522885512789647,0,0,0,0,1,1,19.0068254938921,359.505653511318,0.00136845393084976
"scid10f",490,1460,0.00547945205479452,0.0738455327214919,0,0,0,0,1,1,13.3842039464984,177.258326501207,0.00193262592014236
"scid11",491,1460,0.204109589041096,0.403187558476595,0,0.13013698630137,0,0,1,1,1.46675035018983,0.15146173777045,0.0105519006698695
"scid11a",492,1460,0.142465753424658,0.349646961170216,0,0.0530821917808219,0,0,1,1,2.04371494555132,2.17826414748686,0.00915067919687312
"scid11b",493,1460,0.105479452054795,0.307275458268283,0,0.00684931506849315,0,0,1,1,2.56610359065902,4.58803153241627,0.00804176628412451
"scid11c",494,1460,0.0150684931506849,0.121867165379883,0,0,0,0,1,1,7.95291103179467,61.290775269775,0.00318940948690444
"scid11d",495,1460,0.0116438356164384,0.107313300567854,0,0,0,0,1,1,9.09526910974906,80.7792498391422,0.00280851743646645
"scid11e",496,1460,0.0321917808219178,0.176569601173341,0,0,0,0,1,1,5.29522408708015,26.0572469688967,0.00462103766281698
"scid11f",497,1460,0.0191780821917808,0.137197579940345,0,0,0,0,1,1,7.00438867706633,47.0937181178008,0.003590624773113
"scid12",498,1460,0.0780821917808219,0.268392812766052,0,0,0,0,1,1,3.14187864476495,7.8767978925519,0.00702416094265139
"scid12a",499,1460,0.0527397260273973,0.223590001468329,0,0,0,0,1,1,3.99797780208437,13.9934124421015,0.00585161778102523
"scid12b",500,1460,0.0287671232876712,0.167208629315471,0,0,0,0,1,1,5.6326054031523,29.7466194315636,0.00437604983236183
"scid12c",501,1460,0.00136986301369863,0.0369989744219292,0,0,0,0,1,1,26.9352660326649,724.004451117176,0.000968307416187059
"scid12d",502,1460,0,0,0,0,0,0,0,0,NA,NA,0
"scid12e",503,1460,0.00753424657534247,0.086502062270326,0,0,0,0,1,1,11.3784211658712,127.55583664642,0.00226386243728385
"scid12f",504,1460,0.00273972602739726,0.0522885512789647,0,0,0,0,1,1,19.0068254938921,359.505653511318,0.00136845393084976
"scid13",505,1460,0.05,0.218019624221259,0,0,0,0,1,1,4.12524131649309,15.0279104156996,0.0057058343455768
"scid14",506,1460,0.0445205479452055,0.206319229988791,0,0,0,0,1,1,4.41226423588425,17.4800497311375,0.00539962103332628
"scid15",507,1460,0.136301369863014,0.343225864561041,0,0.0453767123287671,0,0,1,1,2.11784459746955,2.48697055058984,0.00898263141814787
"scid15a",508,1460,0.0547945205479452,0.227656713953106,0,0,0,0,1,1,3.90852118056838,13.285638978749,0.00595804851106664
"scid15b",509,1460,0.0547945205479452,0.227656713953106,0,0,0,0,1,1,3.90852118056838,13.285638978749,0.00595804851106664
"scid15c",510,1460,0.0136986301369863,0.116276558714195,0,0,0,0,1,1,8.35883504133401,67.9166429038698,0.00304309662337375
"scid15d",511,1460,0.0417808219178082,0.20015650124786,0,0,0,0,1,1,4.57547295716408,18.9479322245822,0.00523833505075439
"scid15e",512,1460,0.0287671232876712,0.167208629315471,0,0,0,0,1,1,5.6326054031523,29.7466194315636,0.00437604983236183
"scid16",513,1460,0.116438356164384,0.320859750900312,0,0.0205479452054795,0,0,1,1,2.38919920186575,3.71081588798594,0.008397283470878
